brand,model,year,trim,km,priceTry,recordedAt,source
Toyota,Corolla,2021,1.5 Vision Multidrive S,42000,1185000,2026-07-10,Örnek piyasa kaydı
Toyota,Corolla,2021,1.5 Vision Multidrive S,61000,1120000,2026-07-18,Örnek piyasa kaydı
Toyota,Corolla,2021,1.5 Vision Multidrive S,78000,1065000,2026-08-02,Örnek piyasa kaydı
Renault,Clio,2021,1.0 TCe Touch EDC,48000,925000,2026-07-14,Örnek piyasa kaydı
Renault,Clio,2021,1.0 TCe Touch EDC,72000,870000,2026-08-08,Örnek piyasa kaydı
Hyundai,i20,2022,1.4 MPI Style Otomatik,36000,990000,2026-07-25,Örnek piyasa kaydı
Hyundai,i20,2022,1.4 MPI Style Otomatik,65000,930000,2026-08-11,Örnek piyasa kaydı
Fiat,Egea,2021,1.3 Multijet Easy,55000,790000,2026-07-22,Örnek piyasa kaydı
Fiat,Egea,2021,1.3 Multijet Easy,91000,730000,2026-08-06,Örnek piyasa kaydı
Volkswagen,Jetta,2016,1.4 TSI Comfortline DSG,98000,1010000,2026-07-19,Örnek piyasa kaydı
Volkswagen,Jetta,2016,1.4 TSI Comfortline DSG,136000,925000,2026-08-10,Örnek piyasa kaydı
Volkswagen,Passat,2018,1.6 TDI BlueMotion Comfortline DSG,112000,1580000,2026-07-28,Örnek piyasa kaydı
Volkswagen,Passat,2018,1.6 TDI BlueMotion Comfortline DSG,156000,1450000,2026-08-12,Örnek piyasa kaydı
Mercedes-Benz,C200,2018,C200 AMG 9G-Tronic,87000,2490000,2026-07-30,Örnek piyasa kaydı
Mercedes-Benz,C200,2018,C200 AMG 9G-Tronic,119000,2280000,2026-08-15,Örnek piyasa kaydı
Mercedes-Benz,E200,2018,E200 Exclusive 9G-Tronic,93000,3175000,2026-08-01,Örnek piyasa kaydı
Mercedes-Benz,E200,2018,E200 Exclusive 9G-Tronic,127000,2950000,2026-08-16,Örnek piyasa kaydı
BMW,320i,2017,320i ED Sport Line Otomatik,99000,1760000,2026-07-24,Örnek piyasa kaydı
BMW,320i,2017,320i ED Sport Line Otomatik,143000,1610000,2026-08-13,Örnek piyasa kaydı
Peugeot,3008,2020,1.5 BlueHDi Allure EAT8,83000,1675000,2026-08-04,Örnek piyasa kaydı
Peugeot,3008,2020,1.5 BlueHDi Allure EAT8,121000,1550000,2026-08-17,Örnek piyasa kaydı
